"word1","word2","n"
"residential","building",134501
"property","tax",105204
"camera","violation",85188
"hot","water",82323
"bulk","items",79035
"payment","dispute",78641
"camera","violations",72674
"york","city",68446
"parking","ticket",54108
"appeal","status",53228
"garbage","recycling",48989
"pickup","appointment",45007
"birth","certificate",43945
"bulk","item",43080
"item","pickup",43080
"items","schedule",43080
"reschedule","cancel",43080
"schedule","reschedule",43080
"privately","owned",42552
"noisy","neighbor",42294
"request","filed",42294
"service","request",42294
"owned","residential",42119
"fair","fares",38657
"recycling","organics",35955
"scheduled","appointment",35955
"service","day",35955
"parking","permit",35366
"abandoned","vehicle",33226
"report","noise",31050
"vehicle","parked",29939
"account","information",29540
"tax","bills",29540
"tax","bill",28966
"emergency","vehicle",28635
"parked","illegally",28635
"towed","vehicle",27439
"increase","exemption",26534
"rent","increase",26534
"service","provided",26281
"authority","mta",25911
"metropolitan","transportation",25911
"subway","run",25911
"transportation","authority",25911
"city","agencies",25594
"violation","payment",25413
"private","property",25374
"report","illegal",25033
"property","taxes",23956
"child","care",23682
"contact","information",22311
"disputes","including",21200
"including","eviction",21200
"ongoing","disputes",21200
"specific","person",20919
"low","income",20037
"license","plates",19633
"public","school",19596
"building","construction",19485
"air","conditioners",19471
"chlorofluorocarbon","gas",19471
"curbside","disposal",19471
"gas","including",19471
"including","refrigerators",19471
"homeless","shelter",18498
"senior","citizen",17783
"police","department",17538
"social","security",17465
"vehicle","towed",17457
"city","housing",17427
"housing","authority",17427
"housing","preservation",17310
"york","police",16850
"public","property",16678
"lost","stolen",16366
"specific","address",16260
"fares","metrocard",16225
"stolen","damaged",16225
"development","hpd",15966
"tax","benefits",15905
"tax","payment",15750
"york","city's",15414
"tax","exemption",15201
"police","service",15085
"psa","locations",15085
"illegal","dumping",14957
"hpd","complaints",14545
"discount","metrocard",14535
"fares","discount",14535
"metrocard","program",14535
"system","including",14257
"pay","parking",13971
"parking","tickets",13704
"related","services",13655
"tickets","camera",13655
"ownership","records",13302
"property","ownership",13302
"renew","replace",13277
"citizen","rent",13267
"exemption","drie",13267
"exemption","scrie",13267
"walk","signal",13234
"account","updates",13078
"appeals","transfers",13078
"drie","including",13078
"including","appeals",13078
"collection","days",13034
"organics","collection",13034
"profit","address",13034
"public","space",12756
"report","water",12443
"business","tax",12345
"disability","rent",12229
"city","jail",12140
"including","threats",12057
"jail","system",12057
"city","agency",12055
"apartment","building",12053
"people","age",11895
"crime","victim",11408
"dhe","star",11408
"homeowner","exemptions",11408
"sche","dhe",11408
"star","veterans",11408
"veterans","clergy",11408
"victim","homeowner",11408
"public","assistance",11363
"tax","credit",11248
"homeowners","65",11244
"income","tax",11084
"parking","meter",11043
"star","property",10944
"personal","property",10594
"report","building",10472
"application","status",10433
"treatment","referrals",10383
"crisis","services",10255
"free","confidential",10255
"noisy","unsafe",10123
"signs","stickers",10087
"promote","recycling",9940
"authority","apartment",9878
"rental","assistance",9654
"health","insurance",9531
"tax","filing",9526
"earlylearn","nyc",9488
"item","lost",9439
"vehicle","including",9366
"holidays","key",9340
"key","dates",9340
"school","holidays",9340
"unplanned","closures",9340
"construction","including",9161
"including","jackhammer",9161
"jackhammer","noise",9161
"financial","assistance",9111
"mental","health",9064
"sewer","bills",9053
"homeless","person",9042
"violation","issued",9018
"5","boroughs",8920
"city's","idnyc",8920
"identification","card",8920
"idnyc","municipal",8920
"municipal","identification",8920
"substance","abuse",8903
"abuse","issues",8892
"including","crisis",8892
"issues","including",8892
"green","taxi",8743
"regulated","apartments",8616
"rent","regulated",8616
"food","stamps",8460
"assistance","program",8450
"nutrition","assistance",8450
"program","snap",8450
"supplemental","nutrition",8450
"care","program",8310
"nyc","child",8253
"shelter","intake",8039
"fares","nyc",7897
"nyc","program",7897
"free","legal",7837
"benefit","apply",7716
"security","card",7716
"security","disability",7716
"ssi","benefit",7716
"lawyer","referral",7693
"legal","services",7693
"referral","free",7693
"apartment","public",7530
"additional","assistance",7513
"authority","tenant",7513
"condo","units",7474
"reduce","property",7474
"water","leaking",7459
"christmas","tree",7353
"job","center",7346
"city","street",7126
"sick","animal",7063
"branch","cracked",7014
"cracked","branches",7014
"fallen","tree",7014
"poor","condition",7014
"birds","request",6824
"dead","animal",6824
"dead","birds",6824
"dead","deer",6824
"residential","private",6824
"unusual","cluster",6824
"services","including",6804
"actionnyc","immigration",6803
"applications","resources",6803
"citizenship","applications",6803
"immigration","legal",6803
"including","actionnyc",6803
"drinking","water",6747
"illness","caused",6617
"age","62",6485
"driver","licenses",6484
"road","test",6484
"advertising","sign",6468
"atm","advertising",6468
"dumpster","garbage",6468
"fruit","stand",6468
"merchandise","tree",6468
"restaurant","fruit",6468
